gene_symbol,uniprot,accession_count,main_location,additional_location,if_reliability
AC135068.5,,0,,,
AC136352.2,,0,,,
AC136352.3,,0,,,
AC136475.9,,0,,,
AC136612.1,,0,Centriolar satellite,,Approved
AC136616.1,,0,,,
AC136616.2,,0,,,
AC136616.3,,0,,,
AC138647.1,,0,,,
AC138696.1,,0,"Nucleoli, Nucleoli rim","Nucleoplasm, Plasma membrane",Approved
AC138811.2,,0,Endoplasmic reticulum,,Approved
AC138894.1,,0,Nucleoplasm,,Approved
AC138969.1,,0,Nucleoplasm,,Approved
AC139530.2,,0,Mitochondria,,Supported
AC140504.1,,0,,,
AC141272.1,,0,,,
AC144573.1,,0,,,
AC145212.1,Q8WZ33,1,,,
AC171558.1,,0,Centrosome,,Uncertain
AC171558.3,,0,,,
AC213203.1,P0DMU3,1,,,
AC213203.2,,0,,,
AC231656.1,,0,,,
AC231657.3,,0,,,
AC233723.1,,0,,,
AC233755.1,P0DP08,1,,,
AC233755.2,,0,,,
AC240274.1,,0,Cytosol,Microtubules,Approved
AC242628.1,,0,,,
AC242842.3,,0,Cytosol,Microtubules,Approved
AC243547.3,,0,,,
AC243967.1,,0,,,
AC244197.3,,0,,,
AC244517.10,,0,,,
AC245033.1,,0,Endoplasmic reticulum,"Nucleoli, Cytosol",Approved
AC245748.1,,0,,,
AC253536.7,,0,Mitochondria,,Approved
ACAA1,P09110,1,Peroxisomes,,Supported
ACAA2,P42765,1,Mitochondria,,Supported
ACACA,Q13085,1,Cytosol,"Nucleoli fibrillar center, Actin filaments",Supported
ACACB,O00763,1,,,
ACAD10,Q6JQN1,1,,,
ACAD11,Q709F0,1,,,
ACAD8,Q9UKU7,1,,,
ACAD9,Q9H845,1,Mitochondria,,Enhanced
ACADL,P28330,1,,,
ACADM,P11310,1,Mitochondria,,Enhanced
ACADS,P16219,1,Mitochondria,,Supported
ACADSB,P45954,1,Mitochondria,,Supported
ACADVL,P49748,1,Mitochondria,"Nucleoplasm, Nucleoli",Supported
ACAN,P16112,1,,,
ACAP1,Q15027,1,Golgi apparatus,,Uncertain
ACAP2,Q15057,1,Endosomes,,Approved
ACAP3,Q96P50,1,Nucleoplasm,Golgi apparatus,Approved
ACAT1,P24752,1,Mitochondria,,Enhanced
ACAT2,Q9BWD1,1,Cytosol,Nucleoplasm,Approved
ACBD3,Q9H3P7,1,Golgi apparatus,,Supported
ACBD4,Q8NC06,1,"Nucleoplasm, Vesicles",,Approved
ACBD5,Q5T8D3,1,Peroxisomes,,Enhanced
ACBD6,Q9BR61,1,Nucleoplasm,Cytosol,Approved
ACBD7,Q8N6N7,1,"Vesicles, Cytosol",,Approved
ACCS,Q96QU6,1,Golgi apparatus,,Approved
ACCSL,Q4AC99,1,Cytosol,,Approved
ACD,Q96AP0,1,Nuclear bodies,,Enhanced
ACE,P12821,1,Vesicles,,Approved
ACE2,Q9BYF1,1,,,
ACER1,Q8TDN7,1,,,
ACER2,Q5QJU3,1,,,
ACER3,Q9NUN7,1,,,
ACHE,P22303,1,Golgi apparatus,Vesicles,Approved
ACIN1,Q9UKV3,1,Nucleoplasm,"Plasma membrane, Cytosol",Supported
